Cluster,Quote
0,u t u t t 4 u cos 2π f δf t t 4 α x a n m n 0n u t u t t 2 u cos 2π f δf t t 2 α y a n m n n 0 a1 where u is the practical voltage input u and u are the constructed voltages u is the peak value f is the rated frequency t is a single powera
0,cos πδft α ar n 0n u m f sin πδft α ai n 0n u m f δf
0,cos πδft α π 2 πδft 2 xr n 0 nn u m f sin πδft α π 2 πδft 2 xi n 0 nn u m f δf
0,if 0 2δf δf 2 f 2 1 234 nf f n n sin πδft n α 0 φ arctan q πδft α 1 cos πδft n α 0 n 0 a6 equation 19 in section 2 4 is the calculation of the phase angle of the simulated positive sequence voltage comparing a6 with 19 with theδsame frequency deviation
0,2πkf t 2πkδft α a m kn u t u t t 4 u k cos 2πkf t 2πkδftx a n m n α πk 2 πkδft 2 k n u t u t t 2 u k cos 2πkf t 2πkδfty a n mn α πk πkδft k n k 1 2 3 4 5 a7 δ αwhere u k is the peak value of the k harmonic component f is
0,n 2f real k n nm k 2 kπδftn j 2 f δf 2f cos imag k n n2 k 1 4n n 0 1 2 3 a8 4v k kπδft x 2 f δf sin n 2f real k n nm k 2 kπδftn
0,cos imag k n n2 k 3 4n n 0 1 2 3 a10 4v k kπδft x 2
1,dq3 dq dq1 1 1 2 2 2 cid 4 and δ is the phase angle of the dq reference frame and δ δ 2π 3 anddq dqdq cid 4 cid 4 δ δ 2π 3 dqdqthe phase angle of the dq reference frame is defined as cid 5 tδ t
1,ω r dr δ 1 45 dq dq dq o0where ω
1,t 0dq dq p t 1 49 cosδ t sinδ t
1,ω t p 1 55 dq dq ωdt0 0
1,dq o dqdt 1 65 j δω ω v t
1,o o dq p v t
1,o dq p t v
1,i t v t v t 2 1 1 dq 1 l dq c dq 2
1,i t p t c v t 2 2 l dq c dq r r 2 3
1,i t v t 1 dq 1 o
1,ji t 2 17 l dq o l d l qdtthe expression
1,j δ t δ 2 20 s dq h
1,jδ t 2 22 s dq h dqgwhich has a similar expansion as 2 21 namely
1,dqh dq v t
1,jδ t 2 24 s dq g
1,dq s dqor equivalently p t v
1,current i ass dq s dqfollows τ t ψ
1,page5656 2 power system model i ih dq h dqjx r jx ra
1,d d v v h dq h dqe exp jδ e
1,p t b v t h dq dq 1 h
1,dq h dqd d
1,dq k dq 1 dql l l1
1,h dq dq 1 h
1,dq 2 68 l l l21
1,p t b v t k dq dq 1 k dql l l2 cid 2 cid 2 or using the notation of 2 15 and dropping for simplicity the dependency ontime
1,i t h dq k dq t 1 t k dq v t
1,dq 1 μ μ dq1 cid 4
1,dq h dq μ dqk dqrfe cid 4 v t a v t k dq k dq cid 4
1,i t a i t k dq k dqwhere a aexp jφ is the complex tap ratio of the transformer note that theideal transformer is power invariant i t k dq cid 4 cid 4 v t
1,i t 2 73 k dq k dq k dq k dq k dq
1,a if iron core magnetization and losses are neglected as usual in power system studies x which implies i 0 and 1 r 0 which leads toμ μ dq fe cid 4
1,dq h dq y 2 75 t 1i t 1 v t a k dq k dqwhere 1y
1,t y y e t dq dq dqg g gg
1,y y v t dq dq dqb b bg bb
1,i t 2 85 dq dq dq where denotes the hadamard product i e
2,xxxiiipart
2,1 machine rotor speeds 2278 2 center of inertia 2478 3 applications of the rocop 2569 power system model 2619 1 introduction
2,i e v v θ v
2,i e v v jvdq
2,ϑ t 1 4 dt dt2to properly interpret 1 2 is not always trivial if the angular frequency isconstant the definition is also consistent with the intuition in fact if ϑ is ϑ t ω t θ 1 5 o owhere ω
2,and θ are constant then as expected the angular frequency is ω o o ohowever if ϑ is ϑ t ωˆ
2,t θ 1 6 owhere
2,ωˆ is a smooth i e derivable at least once function of time then thetime derivative of 1 6 gives d dϑ t ω t
2,ωˆ t t ωˆ t
2,1 1 extending this reasoning to the limit of an infinitesimal measur ing unit one has to conclude that the length of the coast of britain must beinfinite another possible answer
2,exp t t ξ t h h h dc dch
2,v iwhich has zero average over the least common multiple of the periods 2π ωvand 2π ω of the voltage and current respectively ithe only case for which the average value of the instantaneous power pis nonnull is for ω ω ω for which in fact one obtains the well
2,1time s figure 1 2 instantaneous power obtained with nonisofrequential voltage v 1 v ω 2π 50 rad s and current
2,05time s figure 1 3 instantaneous power obtained with isofrequential voltage v 1v ω 2π 50 rad s and current
2,rad s i e 100δ o omhz t 0
2,λ t 1 15 o θ θthis function resembles the damped oscillations that occur in a power systemfollowing a large disturbance and is thus of relevance for the transient phenom ena discussed in this book figure 1 5 shows an example that considers cid 2 cid 3 v t 2v sin ω t δθ
2,1θ2ωov 2figure 1 6 time dimensionality reduction in the phasor domain v t 12v
2,jω v ω v θ
2,π 2 1 21 o
2,nω t 1 23 n o n
2,where the complex coefficients c are given by n cid 5 to 1 2 c h r
2,h k ω h nδt exp j k ω nδt k 0 1 2 n 1 1 25 s snn 0where δt and n are the sampling time and the number of samples of the timeˆ series with sampling frequency ω 2π nδt knowing h
2,2π50 rad s andoδθ as in 1 15 with δθ 0 2π rad ω 2π rad s and λ 0 o
2,8 results of the dst of v nδt with δt 0 0001 s and n θ100 000 v 1 v ω 2π50 rad s
2,and with δθ defined in 1 15 withoδθ 0 2π rad s ω 2π rad s
2,8 d d c t c
2,no steady state forward backward transform 111 o complex
2,no transientclarke transform 37 αβo real no transientpark transform 168 dqo real
2,page2424 1 frequency in power systemsand a exp j2π 3 the inverse of the symmetrical component transform isgiven by 1v a v 1 36 abc owhere 1 1 1 1a 2 a a 1 2a a 1figure 1 9 shows an example of symmetrical components for a set of un balanced voltages v note that the zero sequence is null namely v 0
2,2 2β31 1 1v t 2 2
2,2othe inverse clarke transform is 1v t c v t 1 41 abc αβowhere 1 0 1 1 c 1 3 1 2 2 1 3 12 2for example for the symmetrical voltages in 1 33 the components of the cid 2 cid 2 clarke transform are v t 2v cos
2,page271 4 transforms 271 5 1 5v va α1 1v vb β v egatlov v vβ 0 5 v v egatlov v vβ 0
2,5c0 0 0 5 0 5 1 1 1 5 1 50 0 02 0 04 0 06 0 08 0 1 0 0 02 0 04 0 06 0 08 0
2,2π rad ω 2π rad s and λ 0 o
2,the fundamental constant nominal fre
2,dq o oquency of the system this is the choice adopted in this book to model loadsand the transmission system in sections 2 4 2 and 2 4 3 respectively moreover from the observation of 1 43 and 1 40 as well as of 1 46 and 1 41
2,0cdq dq0 0
2,1on the other hand c can be obtained from p by imposing δ 0
2,16 d d 1p t v t
2,p t p t v t abc dqodt dt cid 17 cid 18 d d 1 1 p t p t v t p t p t v t dqo dqodt dt 1 54
2,i is the identity matrix of order 3 and3 0 1 0d 1p t p t ω
2,0where ω is the angular frequency of the dqo reference frame as defined indq 1 45 merging 1 54 and 1 55 the time derivative of the dqo variables can bewritten in the compact form cid 2 cid 2 d dp t v t v t
2,ω t p v t 1 56 abc dqo dq ω dqodt dtthen dropping the o component which it is assumed to be null andusing the definition of the park vector in 1 52 the time derivative can beformally defined as a complex time dependent operator as follows dp
2,t jω t 1 57 dqdtin stationary conditions and using ω ω
2,i e a park reference framedq orotating at the constant angular frequency ω
2,page3434 1 frequency in power systemswhere ω is the base angular speed in rad s assuming ω ω ω 1 59 b dq b obecomes d 1p t ω
2,its time derivative is not null due to the rotation of the dq reference cid 2 frame from 1 52 and 1 58 one obtains p v jω v jv
2,δω abc o othe components of the park vector vary sinusoidally with period 2π δωo see figure 1 12 c v t 2v sin
2,δ o o odcase c v rotating at angular frequency ω δθ abc odtif δθ is defined by the exponentially decaying sinusoidal function 1 15 the components of the park vector vary in time as see figure 1 12 d cid 2 cid 3 v t 2v sin δθ t
2,cos ω t 1 exp λ t o θ θ θ θ θdt 1 69 equations 1 67 and 1 68 lead to write the time derivative of the parkvector in the dq reference frame as follows cid 21 cid 22 dp t v t jω v
2,θ is an angular offset with respect to the reference and the time deriva otive of the park vector is dp t jω t j ϑ t 1 73 ϑ dq adtparticularizing ϑ
2,x t 1 2 1 1dt
2,dt 2 6 dref t
2,x t k v t v t
2,t 1 1 1 1 11dtdvref x v v1 1 11 k dt 11t s 12t s 1 s1 figure
2,2refv s v s 11t s2 1
2,k1 1 2 1 2 7 1 t s2ref v s 12s ζ 2 2 1ωˆ v ωˆvvwith1 t 2ζ 1
2,k t1 v 1 2 ωˆ2
2,the reference voltage magnitude v has a step variation 1ref ref hv t v δv t 2 11 11 1 ohwhere is the heaviside step function cid 29 cid 5 t0 t 0
2,λ t 1 1 v v v1 o1 ζ2v 2 13 cid 30 where ω 1 ζ2 ωˆ and λ ζ ωˆ are the pseudo angular frequency andv v v v vvthe damping respectively of the closed loop control transfer function assuming t ζ ωˆ one finally obtains 2 v vref v t v δv 1
2,1emt model0 0 2 0 4 0 6 0 8 1time s figure 2 4 comparison of the dynamic behavior of park vectors and qssphasors for the circuit of figure 2 2 the switch opens at t 0 2 s
2,rad s bthe values of ω and λ lead to the following parameters of the controllerv vof v shown in figure 2 3 1 1 2k ωˆ ζ 38 44 t λ 1 s
2,ωˆ 0 026 s 1 v v 1 2v vwhich can be easily deduced from the expressions of ω and λ
2,f x t y t u
2,u t 0n ny y n 1y rn rnwhere x
2,x x are the state variables
2,i i v v 1 1 l d l q c d c
2,q y v v v v 1 d 1 q 2 d 2 q ref refu v
2,x1 ref k v v x 1 1 1 1 v r i v v
2,x i 1 d 1 l d c d 2 d
2,q f v r i v
2,v x i 1 q 1 l q c q 2 q l l
2,lo 10 0 0 0
2,ω b 0o c 10 0 0 0 0
2,p t li t jω l
2,2 17 has the units of a voltage or which is the same theproduct of an impedance and a current hence the term p l has the units ofan impedance assuming that the base of the impedance is z one has bp t l l
2,d ω lo jz z dt zb b b 2 18 ω l d do 1
2,jx ω x jx l l loω z dt dto bwhere x is the reactance in per unit a similar expression can be obtainedlfor the time derivative of v
2,i i v and v finally thel d
2,equivalently v t v t
2,h q og g 2 21 v t v t
2,og gwhere the subscript h indicates the index of the bus to which the machine isconnected and δ is the angle position of the rotor of the synchronous machine gwhich is referred to the reference angle δ of the system in the following δ
2,0o ois always assumed similarly the link of the stator current i of the machine on the machines dqdq axis frame rotating at ω and the same current assumed to be injected intogbus h on the dq axis frame of the system rotating at ω is given by o
2,dg g cid 2 cid 2 as to be expected the angular rotation by δ is invariant with respect togthe complex power injected by the synchronous machine into bus h of the grid in fact from 2 20 and 2 22 s t v t
2,d h q h q v t
2,d s d s q s q 2 25 q t v
2,q s d s d s qthe synchronous machine constitutes the fundamental link between activepower balance of a power system and frequency variations see equation 1 9 this link is given by the electromechanical equations of the machine d m ω t
2,t i t 2 27 e s d
2,ω jω t is the time derivative of the park vector in the dq o dt gaxis frame of the synchronous machine and r is the armature resistance aseparating real and imaginary components 2 29 becomes d 1ω ψ
2,q s ddt 2 30 d 1 ω ψ t
2,t ψ t v t o s
2,q a s q g s
2,d s qdtas discussed in the example of section 2 3 electromagnetic flux dynamicsare fast with respect to the time scale of electromechanical modes and of the 1 ts model a common simplification is thus to assume ω 0 in 2 30 whicholeads to 0
2,a s d s q s dg 2 31 0
2,t v t a s q s d s qgfinally in the conventional ts model the variations of the rotor speed are considered small with respect to the reference i e ω 1 pu which enablesga further simplification of 2 31 as follows 0
2,a s d s q s d 2 32 0
2,x x i t v t do r q do r q r q
2,i t q s qqo r d qo r d r d qdt
2,x x γ t do d
2,i t γ e t 1
2,i t γ e t 1
2,53equations
2,p q 2 37 e s d s q s d s q h
2,d h q h h u τ
2,h d h qwith equations ω
2,va s q s d
2,i ψ is d s q s q s
2,i γ e 1 γ e s d d s
2,v i qs q s d s d s q hwhere ωˆ ω
2,and left hand side matrices g 1ω 0 0 0 0 0 0
2,m 0 0 0 0 0 0
2,qo 0 0 0 0 0 0
2,t 0ψ0 0 0 0 0 0 0
2,do r q r q
2,t x i t e t
2,t x i t e t
2,i t γ e t 1
2,i t γ e t 1
2,x x i t q1 q1 s
2,exp jδ t a
2,i t v t 2 46 a h
2,exp jδ g gdq dq a sub transient equivalent b transient equivalent ih dqjx ra d v π h dqe exp j δ 2 o
2,x x i t je
2,t 2 48 s qdq
2,r d q d r qwhich is graphically represented by the equivalent circuit shown in figure 2 5 b the well known classical model of the synchronous machine is obtainedfrom 2 48 by imposing both 2 40 and 2 43 and assuming a constant ex citation voltage the resulting internal emf is π cid 4 e jv v exp
2,j 2 49 o ef o ef o2which leads to the circuit shown in figure 2 5 c figure 2 6 shows the approximated circuit of the synchronous machineutilized for the determination of the extended admittance matrix of the system see section 2 4 3 3 in this equivalent circuit the emf is approximated as cid
2,q h hthen the generator current can be written as cid 4 e v t
2,h g hs t v
2,2 55 h cid 4 hgxdthe latter expression is often utilized in stability studies as an approxima tion of the electromagnetic power generated by the machine and is included inthe swing equation of the machine recalling 2 26 and neglecting for sim plicity the damping one has d m
2,g 2 57 p t h
2,hω t gfrom where one obtains the well known expression of the swing equation thatis utilized in several transient stability studies d m ω
2,hh gδ t coim g h
2,δ t coi coim dt g hhgwhere is the set of synchronous generators and m are the normalized hinertia constants using the coi the mechanical equations of the machinebecome d 1 ω
2,pβ hpp t p
2,hqq t q ω t od d
2,hvh owhere v and ω are the voltage magnitude and frequency respectively at theh hbus h where the load is connected the voltage magnitude is defined as2 2 2v t v t v t 2 62
2,and q are the load active and reactive powers at the reference voltage o od dmagnitude v and γ γ β and β are parameters that depend on the loadh
2,q h d dfor example if β β 0
2,γ and γ is stillp qunknown
2,i e series or parallel connection of the elements that composes it alsomakes a difference in its emt dynamic behavior for example assume the circuit shown in figure 2 7 which represents aninductive load composed of the series of an inductance and
2,dqd d d 2 65 v t r p
2,i t h dq 1 dqd d dwhere p is defined in 1 60 1using the notation of 2 15 and dropping for simplicity the dependencyon time 2 65 becomes x v v
2,d h q d qd
2,g v b v h q q h
2,qd d d d 2 66 v r
2,dg ø b 0 0
2,0d 0 b 0 0 1 dt ω o0 0 x 0d0 0 0
2,ø the qss model of the load is obtained by setting t 0 which gives 4 4 1i t r jx g jb v t
2,d 2 67 y v
2,i i v v v v d q h
2,k d d ql l l l v v
2,k q q d l l l l g b l
2,d h q l 2 2 g b f l
2,l 2 2 g b l l
2,d k d k q l 2 2 g b l li
2,i v vk q q k q k dl2 2 2 69
2,ø x 0 0 0 0
2,l b0 0 0 0 0 2 l1t ω o b0 0 0 0 0 2 l b0 0 0 0
2,02lb0 0 0 0 0 2l cid 2 cid 2 r ø where i and i are input variables as they are obtained as the sum of allh dq k dqcurrent injections of the devices connected to buses h and k the qss model of the transmission line is obtained assuming t 0
2,in6 6 2 69 which leads to a purely algebraic model in qss models however it isunusual to use the expressions given in 2 68 since the currents entering inthe line are inputs a notation exclusively based on admittances is preferred as follows cid 31 cid 31 cid 31
2,hk h dql l l 2 70
2,i t y y y v t
2,k dq hk hk k k dql l lwhere 1y r jx hkl l l 2 71 1
2,i t 2 72 h
2,i t a v t v t
2,d k qk d k q u
2,k q t k df v
2,i asin φ i ik qk q k d 2a x 0 0 0t 20 a x 0 0 1 tt ω o0 0 x 0μ0 0 0
2,y hk hk l a tn l
2,y y kh hkl a tn l
2,y y kk hk kl l
2,page6868 2 power system model table 2 4 admittance matrix y of the wscc system bus g
2,re ybus bus0 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 0 0 0 0 3 307 1 365 1 942 0 0 0 0 0 0 1 365 2 553 0 1 188 0 0 0 0 0 1 942 0 3 224 0 0 1 282 0 0 0 0 1 188 0 2 804 1 617 0 0 0 0 0 0 0 1
2,617 2 772 1 155 0 0 0 0 0 1 282 0 1 155 2 437 b im ybus bus 17 361 0 0 17 361 0 0 0 0 0 0 16 000 0 0 0 0 16 000 0 0 0 0 17 065 0 0 0 0 0 17 065 17 361 0 0
2,gb g y 2 79
2,j6 315 0 0 0
2,j4 637 ygbj12 682 0 0 0 0 0 0 0 00
2,j6 315 0 0 0 0 0 0 00 0
2,j4 637 0 0 0 0 0 0 ybgj12 682 0 0 0 0 0 0 0 00
2,j6 315 0 0 0 0 0 0 00 0
2,j4 637 0 0 0 0 0 0
2,g re ybb bb0 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 0
2,617 2 772 1 155 0 0 0 0 0 1 282 0 1 155 2 437 b im
2,ybb bb 30 043 0 0 17 361 0 0 0 0 0 0
2,22 315 0 0 0 0 16 000 0 0 0 0
2,22 702 0 0 0 0 0 17 065 17 361 0 0 39 309 11 604 10 511 0 0 0 0 0 0
2,11 604 17 338 0 5 975 0 0 0 0 0 10 511 0 15 841 0 0 5 588 0 16 000 0 0 5 975 0 35 446 13 698 0 0 0 0 0 0 0
2,0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 00 0 0 0
2,1 260 0 0 0 00 0 0 0 0 0 878 0 0 00 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 969 00 0 0 0 0 0 0 0 0
2,the element wise vector multi plication and the subscript b has been dropped for simplicity recalling theexpression of the current given in 2 77 one obtains cid 2 cid 3 s t
2,d hk k d hk k q h
2,hk hk hk bk
2,k hk hk hk hk
2,bkwhere 2 2v v v 2 89 hh
2,vh d θ v atan 2 90 h h dqvh q
2,2 4 4 examplethis example compares of the emt and qss models and illustrates the effectof the utilization of the coi reference on the trajectories of the variables fortable 2 7 results of the dc power flow analysis for the wscc system base case exact solution dc power flow solutionbus v θ p q v θ
2,h h pu kv rad pu mw pu mvar pu kv rad pu mw pu mvar 1 1 0400 0 0 7164 0
2,2705 1 0 0 67 02 1 0250 0
2,1620 1 63 0 0665 1 0 1710 1 63 0 3 1 0250 0 0814 0 85 0 1086 1 0 0883 0 85 0 4 1 0258 0 0387 0 0 1 0 0386 0 0 5 0 9956 0 0696 1 25 0 50 1 0 0709 1 25 0 6 1 0127 0
2,90 0 30 1 0 0652 0 90 07 1 0258 0
2,0649 0 0 1 0 0691 0 0 8 1 0159 0 0127 1 00 0 35 1 0 0144 1 00 09 1 0324 0
2,0343 0 0 1 0 0385 0
2,99 1 1 01 1 02 1 03 1 04 1 05 1 06 cid 2 cid 2 time s a d axis stator flux0 060
2,040 02 vk up v0 0 02 0 04emt 0
2,ω the only 1gvariable of the machine that is affected by the choice of the reference frame isthe rotor angle
2,24 1 1 1z h
2,u h h u η 3 10 assuming that the diagonal elements of u are equal i e all measurementsare retrieved using devices and or techniques of the same technology andconfiguration the solution of 3 10 reduces to that of a linear least squareproblem cid 23 cid 24 1 z h
2,hk pu kv pu mw pu mvar pu mw 1 1 0424 0
2,7221 0 2747 9 8 0 24422 1 0203 1 6261 0 0710 7 8 0 7622 3 1 0291 0 8599 0 0895 9 6 0 61604 1 0197 0 0 7 5 0 8786 5 0 9975 1 2687 0
2,4967 5 4 0 4027 6 1 0206 0 8874 0
2,3003 6 4 0 30447 1 0379 0 0
2,2 7 1 6241 8 1 0032 0 9908 0 3233 3 9 0 83509 1 0214 0 0 1 4 0 7202table 3 2 results of the state estimation problem for the wscc system base case solution state estimation solution cid 2 cid 2 bus v θ p q v θ
2,h h pu kv rad pu mw pu mvar pu kv rad pu mw pu mvar 1 1 0400 0 0 7164 0 2705 1 0351 0 0 7187 0 26922 1 0250 0
2,1620 1 63 0 0665 1 0215 0 1630 1 6298 0 0636 3 1 0250 0 0814 0 85 0 1086 1 0231 0
2,0819 0 8493 0 0977 4 1 0258 0 0387 0 0 1 0209 0
2,0392 0 0 5 0 9956 0 0696 1 25 0 50 0 9906 0 0711 1 2642 0 5033 6 1 0127 0 0644 0 90 0 30 1 0081 0
2,8958 0 30687 1 0258 0
2,0649 0 0 1 0225 0
2,0653 0 0 8 1 0159 0 0127 1 00 0 35 1 0137 0
2,9907 0 33189 1 0324 0
2,0343 0 0 1 0299 0
2,05888 0 02069 0
2,h h pu kv rad pu mw pu mvar pu kv rad pu mw pu mvar 1 1 0400 0 0 7164 0
2,2705 1 0350 0 0 7189 0 26922 1 0250 0
2,1620 1 63 0 0665 1 0213 0 1630 1 6299 0 0636 3 1 0250 0 0814 0 85 0 1086 1 0230 0
2,0819 0 8492 0 0975 4 1 0258 0 0387 0 0 1 0208 0 0392 0 0 5 0 9956 0 0696 1 25 0 50 0 9905 0 0711 1 2641 0
2,5032 6 1 0127 0
2,0644 0 90 0 30 1 0079 0 0646 0
2,8961 0 30667 1 0258 0
2,0223 0 0653 0 0 8 1 0159 0 0127 1 00 0 35 1 0135 0
2,9907 0 33179 1 0324 0
2,0343 0 0 1 0298 0
2,u t 3 17 dtwhere 3 17 represents a compact notation of 2 15 with l f g and cid 19 cid 20 t 0n
2,nθ x y 3 18 r 0n ny
2,1similarly to the standard state estimation the dse problem can be for mulated as an optimization problem to be solved at every time step t askfollows 1 1 1minimize j ξ ε ξ q ξ ε u ε 3 21 k k k k k k k k2 ξ ε z k k k cid 2 cid 3 subject to 0
